Potential [ V],di [µA/]
-0.772300005,168.159997
-0.77184999,168.6320029
-0.771399975,169.0570061
-0.770950019,169.4829989
-0.770500004,169.8599954
-0.770049989,170.5509931
-0.769599974,171.3459933
-0.769150019,172.1599983
-0.768700004,173.0070071
-0.768249989,173.9569998
-0.767799973,174.67
-0.767350018,175.2550015
-0.766900003,175.905996
-0.766449988,176.4939952
-0.765999973,176.9170049
-0.765550017,177.355003
-0.765100002,177.7980069
-0.764649987,178.0750026
-0.764199972,178.4119959
-0.763750017,178.7130022
-0.763300002,178.9929956
-0.762849987,179.1859977
-0.762399971,179.434006
-0.761950016,179.6040015
-0.761500001,179.841998
-0.761049986,180.1320032
-0.760599971,180.574003
-0.760150015,181.2209957
-0.7597,181.9299941
-0.759249985,182.845004
-0.75880003,183.9509932
-0.758350015,185.1499983
-0.7579,186.1659985
-0.757449985,187.3209985
-0.757000029,188.3689984
-0.756550014,189.2360015
-0.756099999,190.0450006
-0.755649984,190.9099956
-0.755200028,191.6500041
-0.754750013,192.3779928
-0.754299998,193.2209998
-0.753849983,194.0340007
-0.753400028,194.8080026
-0.752950013,195.6180058
-0.752499998,196.4929979
-0.752049983,197.1640013
-0.751600027,197.7369975
-0.751150012,198.320995
-0.750699997,198.8190052
-0.750249982,199.1860045
-0.749800026,199.6350038
-0.749350011,200.1230023
-0.748899996,200.5830029
-0.748449981,201.0769967
-0.748000026,201.6390063
-0.747550011,202.2459958
-0.747099996,202.9110037
-0.746649981,203.632997
-0.746200025,204.3449931
-0.74575001,205.0040057
-0.745299995,205.6649973
-0.74484998,206.3499996
-0.744400024,206.9729962
-0.743950009,207.6249948
-0.743499994,208.1790008
-0.743049979,208.6250024
-0.742600024,208.9850022
-0.742150009,209.3100047
-0.741699994,209.7240067
-0.741249979,210.2290018
-0.740800023,210.8790068
-0.740350008,211.5770039
-0.739899993,212.4669991
-0.739449978,213.1880028
-0.739000022,214.0760043
-0.738550007,214.9219945
-0.738099992,215.7629933
-0.737649977,216.586006
-0.737200022,217.3940011
-0.736750007,218.043002
-0.736299992,218.6240017
-0.735849977,219.116002
-0.735400021,219.2380052
-0.734950006,219.5480047
-0.734499991,219.7819995
-0.734049976,220.0370072
-0.73360002,220.3259937
-0.733150005,220.9329978
-0.73269999,221.2300024
-0.732249975,221.4910055
-0.73180002,221.6300054
-0.731350005,221.6180001
-0.73089999,221.3130065
-0.730449975,221.1670071
-0.730000019,221.1579995
-0.729550004,221.2050022
-0.729099989,221.4190026
-0.728649974,221.8529989
-0.728200018,222.3299962
-0.727750003,222.704999
-0.727299988,223.2620027
-0.726849973,223.8279994
-0.726400018,224.5490032
-0.725950003,225.1279948
-0.725499988,225.7620072
-0.725049973,226.1649934
